ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
422,Davie Selke,de GER,FW,Köln,28,1995,19,16,1265,14.1,6,0,6,6,0,0,3,0,4.8,4.8,0.4,5.2,9,17,46,0.43,0.00,0.43,0.43,0.43,0.34,0.03,0.37,0.34,0.37,Matches
423,Benjamin Šeško,si SVN,FW,RB Leipzig,20,2003,31,17,1526,17.0,14,2,16,14,0,0,0,0,7.7,7.7,1.1,8.8,21,22,98,0.83,0.12,0.94,0.83,0.94,0.45,0.07,0.52,0.45,0.52,Matches
424,Kevin Sessa,de GER,MFFW,Heidenheim,23,2000,30,7,1011,11.2,3,0,3,3,0,0,1,0,2.9,2.9,1.3,4.2,29,51,48,0.27,0.00,0.27,0.27,0.27,0.25,0.12,0.37,0.25,0.37,Matches
425,Aaron Seydel,de GER,FW,Darmstadt 98,27,1996,16,5,619,6.9,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,7,10,35,0.15,0.00,0.15,0.15,0.15,0.15,0.10,0.25,0.15,0.25,Matches
Rk
426,Tim Siersleben,de GER,DF,Heidenheim,23,2000,14,10,910,10.1,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,12,48,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
427,Kiliann Sildillia,fr FRA,DF,Freiburg,21,2002,27,20,1806,20.1,0,1,1,0,0,0,2,1,0.6,0.6,0.8,1.4,22,70,58,0.00,0.05,0.05,0.00,0.05,0.03,0.04,0.07,0.03,0.07,Matches
428,Mohamed Simakan,fr FRA,DF,RB Leipzig,23,2000,32,23,2138,23.8,2,3,5,2,0,0,8,0,3.9,3.9,3.3,7.2,34,106,76,0.08,0.13,0.21,0.08,0.21,0.16,0.14,0.30,0.16,0.30,Matches
429,Xavi Simons,nl NED,MF,RB Leipzig,20,2003,32,32,2653,29.5,8,11,19,7,1,2,11,1,8.3,6.7,9.8,16.4,151,187,216,0.27,0.37,0.64,0.24,0.61,0.28,0.33,0.61,0.23,0.56,Matches
430,Tim Skarke,de GER,FWDF,Darmstadt 98,26,1996,30,29,2404,26.7,8,0,8,8,0,0,7,0,3.6,3.6,2.1,5.7,61,80,190,0.30,0.00,0.30,0.30,0.30,0.13,0.08,0.21,0.13,0.21,Matches
431,Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,28,1995,27,24,2168,24.1,2,2,4,2,0,0,1,0,2.3,2.3,1.0,3.3,10,110,28,0.08,0.08,0.17,0.08,0.17,0.10,0.04,0.14,0.10,0.14,Matches
432,Robert Skov,dk DEN,DFFW,Hoffenheim,27,1996,25,14,1260,14.0,3,4,7,3,0,0,2,0,1.8,1.8,1.9,3.7,28,71,92,0.21,0.29,0.50,0.21,0.50,0.13,0.14,0.26,0.13,0.26,Matches
433,Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,22,2000,11,3,347,3.9,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,0,14,0,0.26,0.00,0.26,0.26,0.26,0.26,0.01,0.27,0.26,0.27,Matches
