ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
481,Aster Vranckx,be BEL,MF,Wolfsburg,20,2002,24,12,1153,12.8,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,3,48,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
482,Luca Waldschmidt,de GER,MFFW,Köln,27,1996,22,14,1146,12.7,3,0,3,3,0,1,0,0,2.9,2.1,1.2,3.3,30,46,61,0.24,0.00,0.24,0.24,0.24,0.23,0.09,0.32,0.17,0.26,Matches
483,Kjell-Arik Wätjen,de GER,MFFW,Dortmund,17,2006,2,1,105,1.2,0,1,1,0,0,0,0,0,0.0,0.0,1.2,1.2,3,8,1,0.00,0.86,0.86,0.00,0.86,0.00,1.02,1.02,0.00,1.02,Matches
484,Wout Weghorst,nl NED,FW,Hoffenheim,30,1992,28,24,1977,22.0,7,3,10,6,1,1,4,0,7.2,6.4,3.5,9.9,14,57,132,0.32,0.14,0.46,0.27,0.41,0.33,0.16,0.49,0.29,0.45,Matches
485,Julian Weigl,de GER,MF,Gladbach,27,1995,31,31,2764,30.7,2,3,5,0,2,2,10,0,2.4,0.9,2.1,2.9,14,105,14,0.07,0.10,0.16,0.00,0.10,0.08,0.07,0.15,0.03,0.09,Matches
486,Nelson Weiper,de GER,FWMF,Mainz 05,18,2005,5,1,124,1.4,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.6,6,2,20,0.00,0.00,0.00,0.00,0.00,0.35,0.11,0.46,0.35,0.46,Matches
487,Mitchell Weiser,de GER,DFMF,Werder Bremen,29,1994,30,30,2636,29.3,3,7,10,3,0,0,5,0,3.8,3.8,4.2,7.9,81,111,189,0.10,0.24,0.34,0.10,0.34,0.13,0.14,0.27,0.13,0.27,Matches
488,Noah Weißhaupt,de GER,DFFW,Freiburg,21,2001,24,6,759,8.4,1,2,3,1,0,0,1,0,0.4,0.4,1.3,1.7,41,26,84,0.12,0.24,0.36,0.12,0.36,0.05,0.16,0.21,0.05,0.21,Matches
489,Timo Werner,de GER,FWMF,RB Leipzig,27,1996,8,2,207,2.3,2,0,2,1,1,1,0,0,2.4,1.6,0.0,1.6,10,6,32,0.87,0.00,0.87,0.43,0.43,1.02,0.02,1.04,0.68,0.70,Matches
490,Silvan Widmer,ch SUI,DF,Mainz 05,30,1993,20,13,1242,13.8,1,3,4,1,0,0,4,0,1.4,1.4,3.5,4.8,31,54,63,0.07,0.22,0.29,0.07,0.29,0.10,0.25,0.35,0.10,0.35,Matches
491,Patrick Wimmer,at AUT,FWMF,Wolfsburg,22,2001,14,8,589,6.5,2,0,2,2,0,0,3,1,1.4,1.4,0.1,1.5,8,15,44,0.31,0.00,0.31,0.31,0.31,0.22,0.02,0.24,0.22,0.24,Matches
492,Jonas Wind,dk DEN,FW,Wolfsburg,24,1999,34,31,2651,29.5,11,7,18,11,0,1,3,0,9.4,8.5,5.1,13.6,17,88,115,0.37,0.24,0.61,0.37,0.61,0.32,0.17,0.49,0.29,0.46,Matches
493,Florian Wirtz,de GER,MF,Leverkusen,20,2003,32,26,2372,26.4,11,11,22,10,1,1,3,0,8.9,8.2,7.5,15.7,138,224,306,0.42,0.42,0.83,0.38,0.80,0.34,0.29,0.62,0.31,0.60,Matches
494,Maximilian Wittek,de GER,DFFW,Bochum,27,1995,21,13,1070,11.9,3,1,4,3,0,0,4,0,1.3,1.3,1.4,2.6,17,49,64,0.25,0.08,0.34,0.25,0.34,0.11,0.11,0.22,0.11,0.22,Matches
495,Maximilian Wöber,at AUT,DF,Gladbach,25,1998,25,24,2066,23.0,2,3,5,2,0,0,4,1,1.3,1.3,1.6,2.9,32,128,23,0.09,0.13,0.22,0.09,0.22,0.06,0.07,0.13,0.06,0.13,Matches
496,Marius Wolf,de GER,DF,Dortmund,28,1995,22,12,1166,13.0,0,1,1,0,0,0,2,0,0.6,0.6,1.6,2.2,36,59,79,0.00,0.08,0.08,0.00,0.08,0.04,0.13,0.17,0.04,0.17,Matches
497,Nick Woltemade,de GER,FWMF,Werder Bremen,21,2002,30,12,1189,13.2,2,0,2,2,0,0,1,0,2.4,2.4,1.7,4.1,21,43,80,0.15,0.00,0.15,0.15,0.15,0.18,0.13,0.31,0.18,0.31,Matches
498,Jeong Woo-yeong,kr KOR,MFFW,Stuttgart,23,1999,26,5,633,7.0,2,3,5,2,0,0,1,0,1.8,1.8,1.6,3.4,23,22,54,0.28,0.43,0.71,0.28,0.71,0.25,0.22,0.48,0.25,0.48,Matches
499,Granit Xhaka,ch SUI,MF,Leverkusen,30,1992,33,32,2821,31.3,3,0,3,3,0,0,5,0,1.8,1.8,2.7,4.5,60,392,53,0.10,0.00,0.10,0.10,0.10,0.06,0.09,0.15,0.06,0.15,Matches
500,Dan-Axel Zagadou,fr FRA,DF,Stuttgart,24,1999,19,16,1453,16.1,1,0,1,1,0,0,1,0,1.0,1.0,0.3,1.3,2,75,3,0.06,0.00,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,Matches
Rk
501,Bryan Zaragoza,es ESP,FWMF,Bayern Munich,22,2001,7,1,183,2.0,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,14,9,28,0.00,0.00,0.00,0.00,0.00,0.23,0.11,0.34,0.23,0.34,Matches
502,Robin Zentner,de GER,GK,Mainz 05,28,1994,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
503,Cedric Zesiger,ch SUI,DF,Wolfsburg,25,1998,23,18,1634,18.2,0,0,0,0,0,0,5,0,1.3,1.3,0.0,1.4,14,81,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.08,0.07,0.08,Matches
504,Michael Zetterer,de GER,GK,Werder Bremen,28,1995,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
505,Christoph Zimmermann,de GER,DF,Darmstadt 98,30,1993,19,12,1220,13.6,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,7,34,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
506,Simon Zoller,de GER,FWMF,Bochum,32,1991,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
507,Lovro Zvonarek,hr CRO,FWMF,Bayern Munich,18,2005,5,1,163,1.8,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,7,7,9,0.55,0.00,0.55,0.55,0.55,0.04,0.12,0.15,0.04,0.15,Matches
